iter	Passed	Remaining
400	18980	28352
401	19027	28304
402	19073	28254
403	19123	28211
404	19170	28164
405	19221	28122
406	19268	28074
407	19315	28027
408	19365	27982
409	19411	27933
410	19463	27892
411	19516	27853
412	19562	27804
413	19611	27758
414	19660	27714
415	19708	27667
416	19753	27617
417	19801	27571
418	19853	27529
419	19905	27488
420	19958	27448
421	20007	27403
422	20057	27360
423	20102	27309
424	20149	27261
425	20196	27213
426	20242	27164
427	20292	27119
428	20339	27072
429	20386	27023
430	20434	26976
431	20483	26931
432	20532	26886
433	20580	26840
434	20625	26789
435	20674	26744
436	20721	26696
437	20766	26645
438	20810	26594
439	20857	26546
440	20904	26497
441	20955	26454
442	21003	26408
443	21050	26360
444	21152	26380
445	21209	26345
446	21257	26298
447	21305	26250
448	21353	26204
449	21401	26157
450	21451	26113
451	21501	26067
452	21548	26019
453	21596	25973
454	21644	25925
455	21690	25876
456	21736	25826
457	21784	25779
458	21833	25734
459	21883	25689
460	21931	25642
461	21976	25592
462	22025	25545
463	22075	25501
464	22123	25454
465	22168	25403
466	22214	25354
467	22262	25306
468	22310	25259
469	22360	25215
470	22406	25165
471	22452	25116
472	22503	25072
473	22557	25031
474	22604	24984
475	22649	24933
476	22696	24885
477	22740	24833
478	22785	24783
479	22830	24732
480	22874	24681
481	22917	24629
482	22961	24578
483	23009	24530
484	23059	24486
485	23105	24436
486	23153	24389
487	23200	24341
488	23247	24293
489	23294	24245
490	23345	24201
491	23391	24152
492	23436	24101
493	23480	24051
494	23531	24006
495	23580	23960
496	23625	23910
497	23674	23865
498	23725	23820
499	23771	23771
500	23819	23724
501	23868	23678
502	23916	23630
503	23965	23585
504	24013	23538
505	24059	23488
506	24109	23443
507	24159	23398
508	24211	23355
509	24262	23311
510	24310	23263
511	24360	23219
512	24406	23169
513	24453	23121
514	24502	23074
515	24549	23026
516	24594	22977
517	24641	22928
518	24692	22884
519	24741	22838
520	24788	22790
521	24834	22741
522	24880	22692
523	24929	22645
524	24974	22595
525	25021	22547
526	25064	22496
527	25108	22445
528	25155	22397
529	25203	22350
530	25250	22302
531	25294	22251
532	25337	22200
533	25386	22153
534	25429	22101
535	25472	22050
536	25516	21999
537	25561	21950
538	25608	21902
539	25658	21856
540	25704	21808
541	25755	21763
542	25801	21715
543	25850	21668
544	25897	21620
545	25947	21575
546	25994	21527
547	26038	21477
548	26088	21431
549	26138	21385
550	26184	21337
551	26233	21290
552	26278	21241
553	26325	21193
554	26380	21151
555	26432	21107
556	26481	21061
557	26527	21013
558	26577	20967
559	26622	20917
560	26671	20871
561	26716	20821
562	26765	20775
563	26814	20728
564	26858	20678
565	26906	20631
566	26956	20585
